,Customer_ID,prediccion,%_proba
2479,753246,1.0,0.5669715333652336
2499,760329,1.0,0.6002870461412474
2500,760525,1.0,0.7681908371661412
2502,760843,1.0,0.6197515648788039
2517,764430,1.0,0.721330822142942
2523,766678,1.0,0.7504809335556503
2527,768129,1.0,0.5373437177689027
2535,769591,1.0,0.5251506096584069
2538,769848,1.0,0.8952235770141759
2541,770371,1.0,0.6871820605948312
2582,778639,1.0,0.5897561258202998
2586,779181,1.0,0.5957291818673898
2599,783305,1.0,0.7827413150048399
2631,787713,1.0,0.7240521895522483
2652,795391,1.0,0.5617869376112448
2667,797955,1.0,0.5173419695753722
2681,800793,1.0,0.7865713926254226
2686,801414,1.0,0.6128975144109093
2706,804650,1.0,0.5648919081323874
2722,806451,1.0,0.7764144854645973
2737,808787,1.0,0.5987457501543966
2745,810334,1.0,0.6259388808992061
2755,811211,1.0,0.7398544151173656
2763,812049,1.0,0.7205799762601682
2770,813279,1.0,0.5411899170980203
2773,813790,1.0,0.6209299793284992
2811,820964,1.0,0.6007441344172191
2813,821201,1.0,0.6639606026805114
2816,821485,1.0,0.5754961329436495
2827,823257,1.0,0.7640440294082194
2832,823711,1.0,0.7639286426194013
2841,825037,1.0,0.6154147236456518
2847,825523,1.0,0.6856305767232312
2888,832680,1.0,0.5239577759191337
2942,839569,1.0,0.6714624614393285
2950,840165,1.0,0.591427339709109
2980,843747,1.0,0.6005079333795831
2982,843938,1.0,0.5901006875822697
3012,848438,1.0,0.8372320370505988
3026,850692,1.0,0.5304651449598239
3030,851364,1.0,0.7778877938612591
3038,851844,1.0,0.5928548644580952
3046,852572,1.0,0.5746429940682326
3056,853468,1.0,0.64705754654235
3072,854994,1.0,0.6314935534072683
3080,855512,1.0,0.6136220053172569
3088,855851,1.0,0.9442747049026237
3094,856251,1.0,0.5030695591105733
3115,858641,1.0,0.7135844435701693
3116,858665,1.0,0.7272672957211018
3132,860493,1.0,0.7361461488333544
3137,860850,1.0,0.6562196532698208
3142,861198,1.0,0.6021382936024068
3158,862963,1.0,0.8327177161561347
3186,865227,1.0,0.7237966717476048
3222,870422,1.0,0.7093373464006847
3225,870553,1.0,0.6656998459130851
3226,871010,1.0,0.5452929322807898
3245,873228,1.0,0.5447799173035691
3247,873277,1.0,0.6967705398300074
3250,873806,1.0,0.8707921028538792
3256,874547,1.0,0.615815335424933
3260,874910,1.0,0.8932075423926106
3261,875034,1.0,0.5848980395744315
3277,876842,1.0,0.785238396691864
3292,878497,1.0,0.5035779333860196
3298,879036,1.0,0.6188308022518191
3300,879341,1.0,0.7756614370766594
3328,882319,1.0,0.7873975590923584
3333,882865,1.0,0.840161335881764
3335,883051,1.0,0.5274151934231269
3338,883277,1.0,0.611683573514286
3339,883425,1.0,0.7398658054768052
3346,884477,1.0,0.5630667833764557
3348,884528,1.0,0.5882941205795469
3373,887990,1.0,0.7386248318126427
3378,888803,1.0,0.7994861931120143
